RIC I (second edition) Tiberius 54	http://numismatics.org/ocre/id/ric.1(2).tib.54	34	35	TI CAESAR DIVI AVG F AVGVST P M TR POT XXXVI		Tiberius	36	https://godot.date/id/NUNewZZ2negKa9TcBCrjSf
RIC I (second edition) Tiberius 55	http://numismatics.org/ocre/id/ric.1(2).tib.55	34	35	TI CAESAR DIVI AVG F AVGVST P M TR POT XXXVI		Tiberius	36	https://godot.date/id/NUNewZZ2negKa9TcBCrjSf
RIC I (second edition) Tiberius 58	http://numismatics.org/ocre/id/ric.1(2).tib.58	35	36	TI CAESAR DIVI AVG F AVGVST IMP VIII	PONTIF MAX TR POT XXXVII S C	Tiberius	37	https://godot.date/id/Ahd9Th8A7LiBQKW93hogJN
RIC I (second edition) Tiberius 59	http://numismatics.org/ocre/id/ric.1(2).tib.59	35	36	TI CAESAR DIVI AVG F AVGVST IMP VIII	PONTIF MAX TR POT XXXVII S C	Tiberius	37	https://godot.date/id/Ahd9Th8A7LiBQKW93hogJN
RIC I (second edition) Tiberius 60	http://numismatics.org/ocre/id/ric.1(2).tib.60	35	36	TI CAESAR DIVI AVG F AVGVST PM TR POT XXXVII		Tiberius	37	https://godot.date/id/Ahd9Th8A7LiBQKW93hogJN
RIC I (second edition) Tiberius 61	http://numismatics.org/ocre/id/ric.1(2).tib.61	35	36	TI CAESAR DIVI AVG F AVGVST P M TR POT XXXVII		Tiberius	37	https://godot.date/id/Ahd9Th8A7LiBQKW93hogJN
RIC I (second edition) Tiberius 66	http://numismatics.org/ocre/id/ric.1(2).tib.66	36	37	TI CAESAR DIVI AVG F AVGVST PM TR POT XXXIIX		Tiberius	38	https://godot.date/id/2NpDTgEiDKNMN5mCHgX5i6
RIC I (second edition) Tiberius 67	http://numismatics.org/ocre/id/ric.1(2).tib.67	36	37	TI CAESAR DIVI AVG F AVGVST P M TR POT XXXIIX		Tiberius	38	https://godot.date/id/2NpDTgEiDKNMN5mCHgX5i6
RIC I (second edition) Gaius/Caligula 42	http://numismatics.org/ocre/id/ric.1(2).gai.42	39	40	NERO ET DRUSUS CAESARES	C CAESAR DIVI AVG PRON AVG P M TR POT III PP	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 21	http://numismatics.org/ocre/id/ric.1(2).gai.21	40	40	C CAESAR AVG PON M TR POT III COS III	AGRIPPINA MAT C CAES AVG GERM	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 22	http://numismatics.org/ocre/id/ric.1(2).gai.22	40	40	C CAESAR AVG PON M TR POT III COS III	AGRIPPINA MAT C CAES AVG GERM	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 23	http://numismatics.org/ocre/id/ric.1(2).gai.23	40	40	C CAESAR AVG PON M TR POT III COS III	DIVVS AVG PATER PATRIAE	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 24	http://numismatics.org/ocre/id/ric.1(2).gai.24	40	40	C CAESAR AVG PON M TR POT III COS III	DIVVS AVG PATER PATRIAE	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 25	http://numismatics.org/ocre/id/ric.1(2).gai.25	40	40	C CAESAR AVG PON M TR POT III COS III	GERMANICVS CAES P C CAES AVG GERM	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 26	http://numismatics.org/ocre/id/ric.1(2).gai.26	40	40	C CAESAR AVG PON M TR POT III COS III	GERMANICVS CAES P C CAES AVG GERM	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 27	http://numismatics.org/ocre/id/ric.1(2).gai.27	40	40	C CAESAR AVG PON M TR POT III COS III	S P Q R PP OB CS	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
